recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,avg_candidates_per_user,include_hybrid,hybrid_weights,diversity_weight
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_ranking_neumf_smoke_sampled_100_negatives_20260604_192241,2026-06-04 19:22:41,ranking_neumf_smoke,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.414,0.2833446455166182,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.478,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.448,0.3171149665992909,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.502,0.3360269729308113,0.88,0.5588645379997552,0.417,0.4918419110616029,0.94,0.5774212002471077,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.172,0.0920000830926532,0.46,0.1781458838168129,0.164,0.1780326246596489,0.64,0.2028651221000178,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.398,0.2478288308481505,0.78,0.4575090960361295,0.33,0.3812995429344652,0.85,0.4731485106029583,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_ranking_neumf_phase4_sampled_100_negatives_20260604_192428,2026-06-04 19:24:28,ranking_neumf_phase4,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.016,0.0061538461538461,0.08,0.0120314072059659,0.024,0.0165692307692307,0.24,0.0203629302885528,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.064,0.0450525328330206,0.28,0.0737330966818453,0.0559999999999999,0.055411507191995,0.32,0.0782443303046526,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
