recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,avg_candidates_per_user,include_hybrid,hybrid_weights,diversity_weight
genre_personalized_popularity,0.016,0.0061538461538461,0.08,0.0120314072059659,0.024,0.0165692307692307,0.24,0.0203629302885528,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,,,
item_item_knn,0.056,0.0399257759784075,0.24,0.0689187153468687,0.032,0.0449257759784075,0.24,0.0590529809122629,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,,,
neumf_rating_model,0.0,0.0,0.0,0.0,0.004,0.0015384615384615,0.04,0.002544831527958,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,,,
popularity_bayes,0.04,0.0043956043956043,0.08,0.035587573271651,0.036,0.0206239614044492,0.2,0.0367504488137366,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,,,
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6,,,
genre_personalized_popularity,0.414,0.2833446455166182,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.478,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.448,0.3171149665992909,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.486,0.301475247910046,0.87,0.5370049875242592,0.415,0.4846383965578462,0.91,0.5686268805845579,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.176,0.0920799111031891,0.54,0.1667892451565709,0.176,0.182082219524574,0.71,0.1976733252194016,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.398,0.2478288308481505,0.78,0.4575090960361295,0.33,0.3812995429344652,0.85,0.4731485106029583,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
